FacilityID,FacilityName,VOCs,TSP,SOx,NOx,Total,Total(不含VOCs)
L0200473,臺灣電力股份有限公司台中發電廠,1.018,513.574,3535.648,5227.613,9277.853,9276.835
C1400170,臺灣電力股份有限公司協和發電廠,0.077,149.905,4612.804,2520.042,7282.828,7282.751
S3200688,臺灣電力股份有限公司興達發電廠,0.283,338.577,2108.025,2867.328,5314.213,5313.93
E5600841,中國鋼鐵股份有限公司,121.592,780.714,1717.336,1899.474,4519.116,4397.524
U0100258,和平電力股份有限公司和平火力發電廠,0.078,130.48,900.678,669.633,1700.869,1700.791
U9400115,亞洲水泥股份有限公司花蓮製造廠,0.001,310.484,145.813,1200.127,1656.425,1656.424
H5307960,台灣電力股份有限公司大潭發電廠,0.288,134.326,0.18,1450.622,1585.416,1585.128
U0100187,台灣水泥股份有限公司和平分公司和平廠,0.001,34.271,18.622,1423.38,1476.274,1476.273
P5802421,台塑石化股份有限公司麥寮一廠,215.735,98.381,407.296,825.617,1547.029,1331.294
P5801719,麥寮汽電股份有限公司,6.452,68.374,429.961,820.24,1325.027,1318.575
E5600896,臺灣電力股份有限公司大林發電廠,0.446,7.165,416.755,870.617,1294.983,1294.537
K7000764, 台灣電力股份有限公司通霄發電廠,0.163,67.323,0.034,1223.267,1290.787,1290.624
L0200633,中龍鋼鐵股份有限公司,69.86,197.346,463.989,588.937,1320.132,1250.272
P5802430,台塑石化股份有限公司麥寮三廠,62.012,33.022,165.882,748.102,1009.018,947.006
W0504775,台灣電力股份有限公司塔山發電廠,0.084,7.35,75.202,793.618,876.254,876.17
F1700736,臺灣電力股份有限公司林口發電廠,0.345,8.873,258.843,401.521,669.582,669.237
G3200778,台灣水泥股份有限公司蘇澳廠,0.001,51.82,8.898,572.256,632.975,632.974
P5801728,台塑石化股份有限公司麥寮二廠,10.075,18.267,150.807,396.202,575.351,565.276
K6801089,長春石油化學股份有限公司苗栗廠,31.62,26.753,82.188,452.846,593.407,561.787
E5400878,台灣電力股份有限公司南部發電廠,0.026,15.721,0,461.079,476.826,476.8
X0501232,臺灣電力股份有限公司尖山發電廠,0.014,7.251,161.292,281.488,450.045,450.031
E5600056,台灣中油股份有限公司煉製事業部大林煉油廠,158.043,39.367,121.091,273.366,591.867,433.824
S2201109,台灣塑膠工業股份有限公司仁武廠,9.914,49.816,120.878,257.135,437.743,427.829
Q7100254,台灣化學纖維股份有限公司新港廠,23.233,10.455,99.295,297.033,430.016,406.783
S1900710,台灣中油公司石化事業部林園石化廠,180.219,11.968,121.742,265.958,579.887,399.668
H4803507,台灣中油股份有限公司煉製事業部桃園煉油廠,206.513,19.15,55.374,286.801,567.838,361.325
L9200693,正隆股份有限公司后里分公司,13.636,23.277,82.873,243.674,363.46,349.824
G37A0585,潤泰精密材料股份有限公司宜蘭冬山廠,0,49.925,20.005,241.322,311.252,311.252
G3200849,信大水泥股份有限公司南聖湖廠,0.002,31.141,4.129,271.19,306.462,306.46
S1663169,椿樺化學股份有限公司本洲廠,4.759,0.006,0,268.221,272.986,268.227
